id,language,source_article,reference_summary,zero_shot_prediction,lead_1_prediction,lead_3_prediction
world-middle-east-50947324,english,"An accomplice, whose nationality was not given, was jailed for 12 years. At least three people were wounded in the attack on 11 November, which the authorities blamed on al-Qaeda. It is believed to have been the first such incident since the Saudi government began easing restrictions on entertainment in the kingdom. Last month's attack took place at King Abdullah Park, one of several venues hosting the two-month ""Riyadh Season"" entertainment festival. A video posted on social media appeared to show a man wielding a knife rushing onto a stage and stabbing performers before being tackled by a security guard. Last week, Saudi state TV reported that the assailant had acted on the orders of a senior leader of the Yemen-based militant group al-Qaeda in the Arabian Peninsula (AQAP). However, it has not claimed that it was behind the attack. In a separate development on Sunday, Riyadh's police force said on Twitter that it had arrested 88 people on suspicion of sexual harassment. No further details were given, but it came a week after several women alleged on social media that they had been harassed at the MDL Beast music festival in the capital earlier this month. Riyadh police also said that 120 men and women had been arrested for offending public morals, including by wearing ""inappropriate clothes"". The authorities require both men and women to ""dress modestly"" in public, avoiding tight-fitting clothing or clothes with profane language or images. A first-time violation is usually punished with a fine of 100 riyals ($27; £20).","A court in Saudi Arabia has sentenced a Yemeni man to death for a knife attack on members of a Spanish theatre group performing in Riyadh, state TV says.",<extra_id_0> 88 people,"An accomplice, whose nationality was not given, was jailed for 12 years.","An accomplice, whose nationality was not given, was jailed for 12 years. At least three people were wounded in the attack on 11 November, which the authorities blamed on al-Qaeda. It is believed to have been the first such incident since the Saudi government began easing restrictions on entertainment in the kingdom."
uk-england-suffolk-17681942,english,"The Environment Agency's plans for Easton Broad near Southwold would involve the construction of a 1,300ft (400m) clay bank along the B1127. The reed bed to the west will be better protected, but the seaward side would become saline over time. The work is expected to take until 2017 to complete. Easton Broad, which is home to freshwater birds including the bittern, is protected from the sea by a shingle beach which is regularly breached during high or surge tides. New habitats Paul Miller, project manager for the Environment Agency, said: ""We've been monitoring it since 1991 and it's been rolling back 6-9ft (2-3m) per year, so the shingle ridge is not a sustainable option. ""When the area floods with saltwater it's the fish which die, and that's the food source for the bittern, so keeping the freshwater reed bed fresh is quite important."" The road, which runs between Reydon and Wrentham, crosses the broad and is prone to flooding, so it will also be protected by the clay bank, which still needs planning permission. The broad covers 445 acres (180 hectares) but the 125 acres (50 hectares) between the road and sea will get no further protection. Mr Miller said: ""We will find new land and recreate suitable freshwater habitat to offset the losses at Easton Broad, but that will take 10 to 15 years to develop as reed bed."" Nick Collinson, Suffolk Coast and Heaths Area of Outstanding Natural Beauty manager, said: ""It'll maintain the integrity of the freshwater reedbed on the landward side of Potter's Bridge [on the B1127], so in that sense it's helping to control change. ""It's important to protect property on parts of the coast, but in other parts the coast has been changing for millennia - we're quite happy with it."" The Environment Agency is holding a drop-in event at Reydon Village Hall on Thursday to discuss its plans with the public.","A flood protection scheme is being planned to save part of a Suffolk freshwater reed bed from the sea, but allow the rest to become salt marsh.",<extra_id_0> Broad near Southwold,"The Environment Agency's plans for Easton Broad near Southwold would involve the construction of a 1,300ft (400m) clay bank along the B1127.","The Environment Agency's plans for Easton Broad near Southwold would involve the construction of a 1,300ft (400m) clay bank along the B1127. The reed bed to the west will be better protected, but the seaward side would become saline over time. The work is expected to take until 2017 to complete."
world-australia-51731422,english,"By Frances MaoBBC News, Sydney At least that appears to be the nightmare prospect scaring many Australians right now, who have become the latest group to respond to coronavirus fears by buying toilet paper en masse. This is despite authorities stressing there is no shortage - given most of the nation's rolls are made locally. However in Sydney, the nation's largest city, supermarket shelves have been cleared in minutes, forcing one chain to enforce a four-pack buying limit. Police were even called to a dispute on Wednesday, with reports saying a knife was pulled out in an argument over toilet roll between panic buying shoppers. On social media, #toiletpapergate and #toiletpapercrisis were top trending on Wednesday. Rolls were being flogged for hundreds of dollars online, while listeners were calling into radio stations to win packs of 3-ply loo roll. The situation in the past 48 hours has unravelled so much there are also reports of people stealing from public loos. Just what is going on, and why are people acting this way? An uptick in panic The toilet paper problem is not unique to Australia - a similar situation besieged places worse-affected by the virus, such as Singapore, Japan and Hong Kong. Last month, armed robbers stole pallets in Hong Kong following panic-buying induced shortages there. There are reports of toilet paper buy-ups in the US as well. In Australia, the frenzy began on the weekend after new cases of Covid-19 emerged and the first local death was reported - a 78-year-old man in Perth, Western Australia. On Wednesday a 95-year-old who died this week in Sydney also tested positive for the virus. Australia's infection numbers had initially plateaued in the first weeks after the outbreak, following a strict travel ban on visitors from China. What do I need to know about the coronavirus? Reports then on the weekend of an uptick in cases sparked renewed alarm. As of Wednesday, Australia had recorded 41 cases of Covid-19, and one death. These are numbers significantly lower than that of other nations. Official guidance advised people to practice good hygiene and wash their hands. It was also suggested that people could prepare two weeks' worth of food and water, as well as other household goods, if they felt it necessary. The demand for toilet paper surged - ahead of long-life food and other non-perishable goods. Posts on social media showed customers seizing rolls and piling packets on trolleys. Amid these reports, authorities have urged the public to stop panic buying. Australia's chief medical officer Dr Brendan Murphy told parliament this week: ""We are trying to reassure people that removing all of the lavatory paper from the shelves of supermarkets probably isn't a proportionate or sensible thing to do at this time."" Supermarkets Coles and Woolworths have stated there is plenty of stock, while the manufacturer of Kleenex toilet paper in the nation said it was now operating 24hr production lines to meet demand. The government has said that the nation is well-prepared, and taking all active measures to contain the virus. Local cases of transmissions have been relatively isolated so far. However the toilet-roll buying frenzy continues. Driven by fear The buy-up has provoked a collective cringe in some areas. Online, commentators are flummoxed over the need for an item which, were it to run out, does have rougher substitutes. Some have called it the ""dumbest"" crisis drummed up by Australians so far. Others have pointed out, that compared to medicines or face masks or hand sanitiser, it's not even an item that helps to combat the virus' spread. Consumer psychology experts say the behaviour is ""obviously irrational"", and a clear example of herd mentality whipped up by social media and news coverage. The pictures of bare aisles haven't helped. ""What you've got to remember is that when 50 packs of toilet paper rolls disappear off shelves, you really notice it because they take up so much room,"" says Prof Debra Grace from Griffith University. ""It's much more noticeable than say 50 cans of baked beans or hand sanitiser disappearing."" FOMO syndrome - or Fear Of Missing Out - is in full force here says Associate Professor Nitika Garg from the University of New South Wales. ""They think if this person is buying it, if my neighbour is buying there's got to be a reason and I need to get in too,"" she told the BBC. Prof Garg compares the rush to what occurred in many Asian nations. She notes that in China for example, there was a greater motivation to stock up on white ply because ""there's a thinking that toilet paper can be substituted for tissues and napkins and to make makeshift masks"". Using toilet paper as a medical resource isn't fuelling the Australian demand so far, she says. The local buy-up is driven by fear. She suggests the situation is unprecedented. Australians have stocked up on household goods before but it's been due to a natural disaster like a bushfire or cyclone, and restricted to certain communities. ""But when it comes to coronavirus, people aren't certain as to how things are going to pan out, or how much worse it's going to get,"" Prof Garg says. ""They want to be prepared because it's the one thing they can do to get some sense of control."" Another consumer expert, Dr Rohan Miller from the University of Sydney, believes it is a reflection of an urbanised society and lifestyle where modern convenience reigns supreme. ""We're not used to shortages and scarcity, we're used to being able to pick and choose what we want, when we want. So the rush to get toilet paper is just this sheep mentality to maintain that status,"" he says. Soft, white squares of toilet roll - marketed with pictures of puppies and pure snow - are a daily ""luxury"" that Australians and others just aren't willing to mentally part with. ""I think people want to make sure they have some comforts in their lives if they're going to be shacked up with their family for a long time,"" he says. ""Toilet paper doesn't really matter - it's just so far down the survival list compared to other things like food or water - but it's just something people cling to as a minimum standard.""",Perhaps the worst doomsday scenario is this: being stuck on the toilet and finding you're down to the last square.,<extra_id_0> an uptick in panic,"By Frances MaoBBC News, Sydney At least that appears to be the nightmare prospect scaring many Australians right now, who have become the latest group to respond to coronavirus fears by buying toilet paper en masse.","By Frances MaoBBC News, Sydney At least that appears to be the nightmare prospect scaring many Australians right now, who have become the latest group to respond to coronavirus fears by buying toilet paper en masse. This is despite authorities stressing there is no shortage - given most of the nation's rolls are made locally. However in Sydney, the nation's largest city, supermarket shelves have been cleared in minutes, forcing one chain to enforce a four-pack buying limit."
world-europe-57009321,english,"A separate cluster of 32 cases came after a person was infected at a family gathering in the county and continued to go to work, while 19 cases followed an 18th birthday party. The details emerged at a media briefing with Ireland's deputy chief medical officer, Dr Ronan Glynn. Donegal currently has Ireland's highest Covid-19 rate. The 14-day incidence rate of Covid-19 per 100,000 people in County Donegal was 307.8, as of Wednesday, while the rate for the country as a whole was 134.4. Last week, Dr Tony Holohan, the country's chief medical officer spoke about his concerns about the ""levels of non-compliance"" with Covid-19 restrictions in the county. On Tuesday, An Garda Síochána (Irish police) launched a phone line in Donegal to encourage people to let them know if they see restrictions being broken. Dr Glynn told the briefing that Donegal was not being singled-out for blame. ""It would be very strange for us to preside over a situation where [the] incidence is very high and increasing in a county and not draw attention to that,"" he said. ""This is not in any way a reflection on the majority but, clearly, there are a number of incidents where people have pushed the boundaries"". He said such behaviour was not exclusive to Donegal, adding: ""I suppose the difference, at the moment, versus some other places where we have particularly high incidences, is that there are large clusters driving incidences"". On Wednesday, a second testing centre opened in the county in a bid to curb the spread of infection. It is part of measures being implemented to combat a surge in cases in the Milford area. The incidence rate in the Milford electoral area is 675.3, according to the most recent government data, while in neighbouring Letterkenny it is 594.1. The Republic of Ireland's Level Five restrictions are being eased from 10 May.","Eighty-four cases of Covid-19 have been linked to a wake in County Donegal, health officials have said.",<extra_id_0>.com,"A separate cluster of 32 cases came after a person was infected at a family gathering in the county and continued to go to work, while 19 cases followed an 18th birthday party.","A separate cluster of 32 cases came after a person was infected at a family gathering in the county and continued to go to work, while 19 cases followed an 18th birthday party. The details emerged at a media briefing with Ireland's deputy chief medical officer, Dr Ronan Glynn. Donegal currently has Ireland's highest Covid-19 rate."
business-21055640,english,"Ignoring the effect of store openings and closures, sales in the 12 weeks to 5 January were up 7% from last year. UK and Ireland sales rose 8%, despite the lure of fire-sale prices at Comet, the electrical retailer's main rival which collapsed just before Christmas. Despite the results, markets initially fretted at thinner profit margins and problems at Dixons' French online unit. The company's share price dropped 3.4% at the start of London trading on Thursday, before recovering to end the day up 0.5%. This retailer's shares had dropped a cumulative 3.2% over the previous two days on fears of poor sales figures that proved unfounded. Dixons conceded that its profit margins had been squeezed during the reporting period, but attributed this to a change in the mix of products that customers were buying - with low-margin tablet computers selling particularly well - rather than rising costs or price discounts. Full-year profits would be £75m-£85m, the firm said. Mixed fortunes The retailer continues to face problems with its continental business. Sales in southern Europe - including Italy and Greece - fell 8% but remained profitable, while in northern Europe they rose 11%, reflecting the mixed fortunes of the various eurozone economies. Sales fell 25% at Dixons' troubled French online retailer Pixmania. Dixons bought out the remaining shares in Pixmania last year in an attempt to turn the business around, and has been forced to write off much of the value of its investment. ""The single-channel operation Pixmania was disappointing, but we are making good progress in our restructuring plans, which are designed to put the business on a better financial footing,"" said chief executive Sebastian James.","Dixons Retail, owner of Currys and PC World, has reported robust sales growth over the Christmas period.",<extra_id_0>.com,"Ignoring the effect of store openings and closures, sales in the 12 weeks to 5 January were up 7% from last year.","Ignoring the effect of store openings and closures, sales in the 12 weeks to 5 January were up 7% from last year. UK and Ireland sales rose 8%, despite the lure of fire-sale prices at Comet, the electrical retailer's main rival which collapsed just before Christmas. Despite the results, markets initially fretted at thinner profit margins and problems at Dixons' French online unit."
uk-england-50949041,english,"One project saw 320 whales, dolphins and porpoises spotted off the Yorkshire coast, conservationists said. And 483 grey seals including seven pups were recorded in Cumbria, a 34% rise from last year. The Wildlife Trusts said there had been ""a sea-change in people's attitudes"" but UK waters were still at risk from invasive species and plastic rubbish. The organisation is a combination of 46 individual wildlife trusts around the country, each of which are charities run by members and volunteers. The Yorkshire project saw trained citizen scientists recording hundreds of individual sightings. Photographs captured a pod of bottlenose dolphins travelling from Scotland to Flamborough Head in East Yorkshire, the furthest south they had been officially identified. Bex Lynam, North Sea Wildlife Trusts' marine advocacy officer, said: ""It's likely the bottlenose dolphins came south following shoals of fish; it's thrilling to see playful dolphins and ocean giants like whales. ""Ten years ago, seeing a bottlenose dolphin off the Yorkshire coast would have been rare. ""We need to collect more data about how and why they are using these waters if we are to better protect them."" Researchers also logged minke whales feeding off Staithes, in North Yorkshire. Cumbria Wildlife Trust said it had reported more grey seals at South Walney nature reserve than ever before. Last year it had recorded 360. A seal was also discovered commuting between the Isle of Man and Cornwall, revealing for the first time how far seals would travel for food and a place to have pups. Photographs sent by the Manx Wildlife Trust to the Cornwall Seal Group revealed the animal, nicknamed Tulip Belle, has been a regular visitor to the South West since 2001, returning to the Calf of Man to have pups every couple of years. Joan Edwards, The Wildlife Trusts' director of living seas, said ""more people than ever"" were volunteering to help the coast, amid growing concern over wildlife, climate change and pollution. But the trusts said wildlife was ""increasingly being disturbed by people"" including people on personal watercraft frightening dolphins and kayakers scaring seals.","More than 800 sightings of whales, dolphins and seals have been recorded in British waters this year.",<extra_id_0> of whales,"One project saw 320 whales, dolphins and porpoises spotted off the Yorkshire coast, conservationists said.","One project saw 320 whales, dolphins and porpoises spotted off the Yorkshire coast, conservationists said. And 483 grey seals including seven pups were recorded in Cumbria, a 34% rise from last year. The Wildlife Trusts said there had been ""a sea-change in people's attitudes"" but UK waters were still at risk from invasive species and plastic rubbish."
uk-england-cumbria-56013821,english,"Matt Hood, principal of the online Oak National Academy, said early years teaching was ""sophisticated"" and it was ""unreasonable"" to expect parents to master it. He said we may see the impact when pupils sit GCSEs 10 years from now. The government said more than £1bn was being spent to help pupils catch up. Mr Hood, from Penrith in Cumbria, said there had been a six-month disruption in schooling, adding: ""The year groups I'm most worried about are reception and Year 1. ""I cannot stress enough how critical those early years are, focussed on learning sounds, how to read and count, those things are so fundamental. ""They are some of the most sophisticated things to teach, it's not something you can reasonably expect any parent at home to become an expert in teaching."" Mr Hood, an economics teacher who is also chair of governors at Bay Leadership Academy in Morecambe, said teachers were experts at identifying variations in an individual pupil's knowledge and abilities and plugging gaps. He said: ""What we are going to see is that variation being significantly more complicated because what the teachers do not know is the extent to which every pupil has completed all their work in the way they would have in the school building."" The priority when full schooling resumes would be to ""identify gaps"" with each child, Mr Hood said. ""The big risk is we create a never-ending cycle of pupils needing to catch up. ""One of the worst things you can do in most cases is take them out of their lessons to catch up. We want to them to spend their time with the most expert person they can, and that is their teacher."" Mr Hood has also worked with data companies to allow pupils free access to educational websites, as well as promoted drives to get internet-enabled devices to all children so ""disadvantaged"" pupils do not miss out further. A Department for Education spokeswoman said: ""The government will work with parents, teachers and schools to develop a long-term plan to make sure pupils have the chance to make up their lost education."" Follow BBC North East & Cumbria on Twitter, Facebook and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk. Related Internet Links Oak National Academy Online Classroom","Covid-caused disruption for children learning the basics of reading and counting could pose problems for years to come, a head teacher has warned.",<extra_id_0> to catch up,"Matt Hood, principal of the online Oak National Academy, said early years teaching was ""sophisticated"" and it was ""unreasonable"" to expect parents to master it.","Matt Hood, principal of the online Oak National Academy, said early years teaching was ""sophisticated"" and it was ""unreasonable"" to expect parents to master it. He said we may see the impact when pupils sit GCSEs 10 years from now. The government said more than £1bn was being spent to help pupils catch up."
uk-wales-politics-48914809,english,"Steven Armstrong told MPs that leaving the EU is ""not the reason"" behind the closure. Ford announced last month that the plant in south Wales would close in 2020 with the loss of 1,700 jobs. Mr Armstrong told MPs that a downturn in demand meant the plant was no longer sustainable. First Minister Mark Drakeford has claimed that Brexit was in the background of the decision to close the site. ""We've been talking a long time about the implications of a hard Brexit,"" Ford of Europe chairman Mr Armstrong said. ""I've been very vocal publicly around the fact that a no deal Brexit would be a catastrophe for our industry. ""I want to make it very clear the sustainability of the Bridgend plan is not directly linked to whether we do or don't believe there will be a hard Brexit."" He added: ""Brexit is not the reason."" Mr Armstrong also said the decision to close the plant was delegated from company bosses in Detroit and made by the British board on 5 June. Cardiff North Labour MP Anna McMorrin said Ford is the ""kind of company that shafts its British workers"". Mr Armstrong denied it was the case. He was also asked if other UK factories were safe, and under a hard Brexit scenario. He said: ""If we face tariffs and friction at borders, that would put significant burden on our business - $1bn year cost (£798m). That would cause us to have to think what our footprint would be."" Mr Armstrong added: ""We believe over time that electrification is the way forward for the industry, the speed with which that electrification comes has consequences as we try to disposition the historic assets we have got. ""Unfortunately Bridgend is one of the first being impacted by that.""","Brexit was not a factor in Ford's decision to close its engine plant in Bridgend, the company's European boss has said.",<extra_id_0> is not the case.,"Steven Armstrong told MPs that leaving the EU is ""not the reason"" behind the closure.","Steven Armstrong told MPs that leaving the EU is ""not the reason"" behind the closure. Ford announced last month that the plant in south Wales would close in 2020 with the loss of 1,700 jobs. Mr Armstrong told MPs that a downturn in demand meant the plant was no longer sustainable."
uk-wales-35689878,english,"One will look at improving early cancer diagnosis with GPs and the other will focus on research into treatment for patients with bowel cancer. Bowel cancer is the second leading cause of death from cancer in Wales with almost 1,000 patients dying from the disease every year. The funding came from Cancer Research Wales as the charity marked its 50th anniversary. It usually spends £1m a year on various projects but this announcement was made on top of that. ""This is an unprecedented amount of money that we'll be funding,"" said Liz Andrews, charity director of Cancer Research Wales. ""These two projects can make a massive difference. ""They are two areas where there is direct patient benefit which is so very important for the nature of the research projects which we fund."" 'Surviving longer' Richard Neal, a GP and professor of primary care at Bangor University, has received £800,000 to focus on cancer diagnosis. ""We're going to really get to the bottom of how GPs can improve their cancer referrals with the intention of diagnosing cancer earlier and surviving longer,"" he said. ""We know GPs in Wales don't refer patients as quickly as other countries so what we're trying to do is understand why that happens and develop tools... to get GPs to think about cancer as a possibility earlier and refer those patients earlier for testing."" The other £800,000 will be used at Cardiff's University Hospital of Wales where Prof Andrew Godkin and his team hope to discover and develop new and more effective forms of immunotherapy for bowel cancer. ""Over the last 10 years we've identified quite clearly that the immune system does recognise colorectal cancer,"" he said. ""But it sees cancerous cells in the context of a very long passage of time and it sees it as part of normal tissue."" Prof Godkin added: ""We have population of cells which turn off these immune responses and if we remove them either from the cancer itself or from the blood stream you can then measure really effective anti-cancer immune responses. ""There's no doubt that the immune system can recognise and destroy tumours. ""We want to make a treatment that is for everyone and to do this we need to identify common targets that we find in most tumours and now we think we've got two or three excellent candidates that are expressed in most tumours and this is what we're going to try to generate vaccines against.""","An ""unprecedented"" £1.6m has been pledged to two Welsh cancer projects.",<extra_id_0> longer',One will look at improving early cancer diagnosis with GPs and the other will focus on research into treatment for patients with bowel cancer.,"One will look at improving early cancer diagnosis with GPs and the other will focus on research into treatment for patients with bowel cancer. Bowel cancer is the second leading cause of death from cancer in Wales with almost 1,000 patients dying from the disease every year. The funding came from Cancer Research Wales as the charity marked its 50th anniversary."
uk-29685096,english,"Society of Radiographers members were on strike from 09:00-13:00 BST, and will follow a work-to-rule policy for the rest of the week. The society said urgent care would still be provided. Thousands of NHS staff including nurses and midwives held a strike last Monday. The Department of Health said it was ""disappointed"" by the radiographers' strike and said a larger pay rise would risk front-line jobs. The strike was held across the UK due to an ""ongoing pay freeze"" and because the government ""rejected a recommended 1% pay rise"" for staff in England, the society said. An independent pay review board proposed a 1% increase for all NHS staff but ministers decided to exclude staff who receive progression-in-the-job rises. These, designed to reward professional development, are given to about half of staff, and are worth 3% a year on average. The pay proposal was implemented for all NHS workers in Scotland, and Northern Ireland is yet to make a decision. Wales did the same as England but gave extra money to the lowest-paid staff. It is not clear how many patients will be affected but the Society of Radiographers said 400 scans and X-rays had been cancelled across Wales on Monday. The action is the society's first UK-wide strike for more than 30 years - and it warned there was a ""possibility of more action"". ""The anger that they and other health professionals feel is very strong,"" said Richard Evans, the society's chief executive. ""Radiographers will try and keep the effect on patients to a minimum but radiographers and other health-care workers have got to the stage that they feel there is no alternative. ""Unless we show the government that we are serious about our claim that NHS staff should be treated fairly, they will continue to take advantage of our goodwill."" He also said there was a shortage of radiographers, which was already affecting patients and was likely to get worse if staff did not get ""reasonable and proper recognition"" of their work. A Department of Health spokesman said: ""NHS staff are our greatest asset, and we've increased the NHS budget to pay for over 12,500 more clinical staff since 2010. ""We cannot afford a pay rise in addition to increments - which disproportionately reward the highest earners - without risking front-line jobs."" Last Monday's NHS strike was also followed by four days of work-to-rule, during which staff refused to do unpaid overtime and insisted on taking their breaks. Tens of thousands of people joined anti-austerity protests Belfast, Glasgow and London on Saturday.",Radiographers have gone on strike over pay in the latest walkout by NHS staff.,<extra_id_0>ers strikes,"Society of Radiographers members were on strike from 09:00-13:00 BST, and will follow a work-to-rule policy for the rest of the week.","Society of Radiographers members were on strike from 09:00-13:00 BST, and will follow a work-to-rule policy for the rest of the week. The society said urgent care would still be provided. Thousands of NHS staff including nurses and midwives held a strike last Monday."
